sab,edge_count,has_code_nodes
ERCCREG,29794186,no
DGN,15741306,no
HSCLO,13724374,yes
GTEXEXP,12437928,yes
GTEXEQTL,8237366,yes
LNC,4020948,yes
GENCODE,3530426,no
SNOMEDCT_US,3020296,yes
NCI,2700740,yes
4DN,2589950,no
MSIGDB,2584008,yes
MSH,2554072,yes
CMAP,2451782,no
MEDCIN,2288978,yes
ERCCRBP,1908926,no
RXNORM,1660156,yes
NCBI,1523110,yes
MTHSPL,1333678,yes
HGNCHPO,1314616,no
GENCODEHSCLO,1181976,no
GTEXCOEXP,1078034,no
MTH,1070878,yes
UNIPROTKB,1020330,yes
GLYCANS,929318,no
STRING,918992,no
PROTEOFORM,910938,no
BIOMARKER,907912,yes
IDGP,857272,no
REACTOME,778778,yes
CHEBI,741148,yes
OMIM,534874,yes
LINCS,487288,no
CCSR_ICD10CM,469986,yes
MPMGI,438984,no
ICD10PCS,385118,yes
FMA,366852,yes
OTG,360466,no
CPT,288802,yes
MDR,282072,yes
MP,239828,yes
GO,238658,yes
MMSL,219340,yes
ICD10CM,215452,yes
EFO,193336,yes
VANDF,187038,yes
UWDA,176944,yes
MED-RT,172998,yes
ICPC2ICD10ENG,158708,yes
CCSR_ICD10PCS,158532,yes
MW,157502,no
KF,153380,no
HCOP,135868,no
CLINVAR,123344,no
SNOMEDCT_VET,104398,yes
UMD,103088,yes
ORDO,98768,yes
ICD10AM,86880,yes
MONDO_SIMPLE,85410,no
RATHCOP,84740,no
UBERON_BASE,84422,no
NDDF,73292,yes
CSP,71244,yes
HRA,53276,yes
PSY,51694,yes
MOTRPAC,51424,yes
HP,51414,yes
CCS,46588,yes
EMAPA,44560,yes
DOID,42478,yes
ICD9CM,42142,yes
PDQ,40084,yes
ORPHANET,37890,yes
WP,37550,yes
NIC,33392,yes
NOC,31372,yes
MTHICD9,26946,yes
UBERONEMAPA,26084,no
NPOSKCAN,24334,no
ICD10,23280,yes
OBI,21310,yes
HCPCS,20272,yes
HL7V3.0,20096,yes
CL,19946,yes
MEDLINEPLUS,17986,yes
IDGD,14572,no
ATC,13608,yes
NANDA-I,12512,yes
CPM,11692,yes
HL7V2.5,9926,yes
HMFIELD,9336,yes
ALT,9312,yes
EDAM,8200,yes
NPO,7932,no
CDCREC,6580,yes
CLINGEN,6090,no
LCH_NW,5872,yes
PATO_BASE,5148,no
SENNET,4564,yes
HUBMAP,4548,yes
CCC,4538,yes
NEU,4174,yes
OBIB,3740,yes
USPMG,3674,yes
UBKGSOURCE,3538,yes
CEDAR,3410,yes
ICF-CY,3340,yes
MI,3330,yes
AZ,2912,yes
ICF,2876,yes
HPOMP,2452,no
DSM-5,2202,yes
VCCF,2174,yes
USP,1932,yes
PAZ,1848,yes
CDT,1838,yes
HMAZ,1820,no
OMS,1596,yes
AOT,1550,yes
HRAVS,1548,yes
SBO,1490,yes
HSAPDV,1402,yes
ICPC2EENG,1376,yes
UO,1348,yes
CVX,848,yes
FTU2D,724,yes
SRC,696,yes
ICPC2P,650,yes
PNDS,590,yes
HCPT,438,yes
MVX,368,yes
SOP,334,yes
UNIPROT,294,yes
GENCODE_VS,214,yes
GLYCORDF,192,no
DCTH,164,yes
STELLAR,108,yes
CEDAR_ENTITY,88,no
RIBCA,68,yes
FALDO,40,yes
PGO,38,yes
GLYCOCOO,38,no
REACTOME_VS,22,yes
HCDT,10,yes
