sab,code_count
HSCLO,3431265
ENCODE.CCRE.ACTIVITY,2196935
GTEXEXP,2073492
DGNBM,1705576
GTEXEQTL,1270900
DGNGV,800444
NCBI,762055
DGNV,736241
DGNAGE,638378
ENCODE.RBS.150.NO.OVERLAP,462297
MEDCIN,422303
SNOMEDCT_US,382258
MSH,355278
ENCODE.CCRE,342850
ENSEMBL,336662
PUBCHEM,336189
DBSNP,309035
LNC,297596
NDC,250589
4DNL,215822
CHEBI,202642
NCI,194625
ICD10PCS,192560
BIOMARKER,183546
REFSEQ,140124
RXNORM,128583
MTHSPL,125690
GLYGEN.GLYCOSEQUENCE,117146
OMIM,111086
FMA,104379
ICD10CM,98506
MDR,82781
ICPC2ICD10ENG,81799
DGNCM,65588
CLINGEN.ALLELE.REGISTRY,63051
UWDA,62285
GP.ID2PRO,61353
GLYCOPROTEIN,61353
CHV,57795
GLYGEN.LOCATION,52450
GLYCOSYLATION.SITE,52450
HGNC,44245
GS,40893
GO,40278
UNIPROTKB,38180
MMSL,37787
SNOMEDCT_VET,35701
GLYTOUCAN,33755
NDDF,33456
VANDF,31210
GLYGEN.SRC,30986
REACTOME,29197
DGNGDA,29135
MONDO,27575
ENTREZ,25806
ICD10AM,25658
ICD9CM,22406
MGI,22244
HP,20730
UMD,17921
EFO,16424
NOC,15691
NIC,15617
ORDO,15348
MMX,15255
CPT,15245
UBERON,14671
MP,14515
KFGENEBIN,13375
LCH_NW,13329
PDQ,13325
ICD10,12318
DOID,12000
HCPT,11388
DRUGBANK,10903
DGNTH,10744
MSIGDB,9990
ORPHANET,9793
MTHICD9,9779
HL7V3.0,9631
CSP,8912
MOTRPAC,8571
UNIPROTKB.ISOFORM,8406
EMAPA,8004
PSY,7961
HCPCS,7925
ICPC2P,7410
MEDGEN,7293
ATC,6897
DGNGCM,6275
PR,5353
KFPT,5329
OBA,5152
USP,5086
SPN,4881
ALT,4669
OBI,3973
MEDLINEPLUS,3884
MED-RT,3640
NANDA-I,3527
HL7V2.5,3430
NEU,3269
CL,3232
CPM,3099
MTH,2658
EDAM,2403
ICD10AMAE,2390
GLYGEN.CITATION,2088
GLYCOPROTEIN.EVIDENCE,2088
ICNP,1936
PATO,1888
ICF-CY,1726
USPMG,1668
ICF,1495
MI,1474
HRA,1473
MBA,1327
CDCREC,1324
DGNSM,1260
CCS,1188
ICD10AE,1065
CDT,918
DSM-5,873
NUCCHCPT,855
WP,809
HCDT,800
UBKGSOURCE,796
SENNET,737
HUBMAP,733
AZ,730
SBO,694
ICPC2EENG,693
PCL,584
UO,574
CCSR_ICD10CM,555
VCCF,548
OMS,509
HMFIELD,484
PAZ,464
OBIB,461
NPOKB,436
CLO,434
HRAVS,428
CCC,382
CCSR_ICD10PCS,361
4DNQ,354
ILX.TR,328
DGNMM,326
DGNFU,315
CVX,287
SRC,286
DGNSCM,285
PNDS,281
CEDAR,260
AOT,240
HSAPDV,239
ILX,225
DGNCR,223
PO,215
FTU2D,186
SOP,167
NBO,162
UNIPROT,160
EXPBINS,159
MTHICPC2ICD10AE,137
MPATH,137
GLYCAN,135
GLYCAN.MOTIF,120
RRID,120
FBBT,108
GENCODE_VS,108
GLYGEN.GLYCOSYLATION,91
GLYCOSYLTRANSFERASE.REACTION,91
MVX,89
GLYGEN.RESIDUE,80
BTO,66
DGNGMM,65
NIFSTD.NIFEXT,61
RNA,45
EO,43
DCTH,43
CLM,41
NIFSTD,41
TEMPIND,35
ZFA,34
HANCESTRO,33
MRO,33
TS,29
STELLAR,29
MTHICPC2EAE,27
JAX,26
OMRSE,25
NIFSTD.NLX,24
PGO,23
RIBCA,19
SO,18
FALDO,18
HMDB,18
PVALUEBINS,17
MRNA,17
NIFSDT.NLX.CELL,17
KFCOHORT,15
NIFSTD.NLX.MOL,15
XSD,15
REACTOME_VS,12
IDO,12
4DND,12
4DNF,12
MMSET1,11
OGMS,10
MMSET2CN,10
GETSDS.JSP?MMRRC,9
ICO,8
ENVO,7
AMINO.ACID,7
GEO,6
OBCI,6
OMIT,5
SIO,5
BAO,4
CHMO,4
GCO,4
MMSET4,4
UMLS,3
CONJUGATE,3
MS,3
OLAM,3
TO,2
MA,2
UNITED,2
COB,2
OMIABIS,2
OPL,2
APOLLO,2
CORE,2
ENCODE.CCRE.CTCF,2
ENCODE.CCRE.H3K4ME3,2
ENCODE.CCRE.H3K27AC,2
PAX.PAXRAT,2
PTHR,2
ALLENTRANSGENICLINE,2
FBDV,1
SOUTH,1
WBLS,1
ZEA,1
REPUBLIC,1
CARO,1
MTHCMSFRF,1
MOD,1
VO,1
FLU,1
PCO,1
OAE,1
DRON,1
ERO,1
NODE1GMBSNJ22X1,1
HAS.PRO.ENTRY,1
22-RDF-SYNTAX-NS,1
FOAF,1
CODAO,1
EFO-0002009,1
EFO-0000572,1
3B75,1
9606,1
NIFSTD.NLX.ORG,1
PAX.PAXSPN,1
AIBS.MUS.LAB,1
0000016542,1
246450,1
203750,1
231670,1
251110,1
251000,1
LMHA,1
LP6443-8,1
LP6121-0,1
LP6310-9,1
LA3-6,1
LP6537-7,1
LP20607-5,1
LA2-8,1
LP6562-5,1
127234,1
127235,1
127230,1
127231,1
127232,1
LP6368-7,1
LP75287-0,1
